name,location,online_order,book_table,cuisines,rate,costof2plates,type_mode,rest_type,votes
Srinathjis Cafe,Basavanagudi,No,No,others,3.8,550.0,Delivery,"Casual Dining, Cafe",148.0
Kollapuris,Basavanagudi,No,No,others,3.9,450.0,Delivery,Quick Bites,206.0
Sugar Stars Co,Basavanagudi,No,No,Bakery Desserts,3.7,300.0,Delivery,Bakery,0.0
Bombay Kulfis,JP Nagar,No,No,Ice Cream,3.7,200.0,Delivery,Dessert Parlor,0.0
Kadamba Classic,others,No,No,South Indian,3.6,300.0,Delivery,Quick Bites,16.0
RS Shiv Sagar,Basavanagudi,No,No,others,3.7,450.0,Delivery,Casual Dining,217.0
Kholi Mane,Basavanagudi,No,No,others,3.6,450.0,Delivery,Quick Bites,46.0
Harshi Super Sandwich,Basavanagudi,No,No,Fast Food Street Food,3.8,150.0,Delivery,Quick Bites,148.0
Cake Yard,Basavanagudi,No,No,Desserts,3.4,250.0,Delivery,Dessert Parlor,30.0
Rosewood International Hotel Bar Restaurant,others,No,No,others,3.6,800.0,Delivery,Casual Dining,8.0
Sri Udupi Veg,Jayanagar,No,No,South Indian,3.3,250.0,Delivery,Quick Bites,4.0
Cake Art,Basavanagudi,No,No,Bakery,3.5,400.0,Delivery,"Bakery, Quick Bites",15.0
Aahar Cafe,Basavanagudi,No,No,South Indian,3.7,100.0,Delivery,Quick Bites,0.0
Akash Gowdru Biryani Center,others,No,No,North Indian Chinese,3.7,300.0,Delivery,Quick Bites,0.0
New Sri Udupi Restaurant,Jayanagar,No,No,others,3.7,200.0,Delivery,Quick Bites,0.0
Potato House,others,Yes,No,Street Food,3.4,200.0,Delivery,Quick Bites,9.0
Hotel Biriyani Counter,Vijay Nagar,No,No,North Indian Chinese Biryani,3.7,350.0,Delivery,Quick Bites,0.0
Matru Sagar,others,Yes,No,South Indian North Indian,3.7,300.0,Delivery,Quick Bites,31.0
Ugadi,Jayanagar,Yes,No,others,2.9,700.0,Delivery,Casual Dining,177.0
RATEDn The food here is just about an average, ,others,others,Missing,3.7,400.0,Delivery,others,60.0
Sri Krishna Sweets,Basavanagudi,Yes,No,others,3.7,250.0,Delivery,Sweet Shop,22.0
In Time Cane Juice,Kumaraswamy Layout,Yes,No,others,3.5,100.0,Delivery,Beverage Shop,10.0
Subway,Banashankari,Yes,No,others,3.7,600.0,Delivery,Quick Bites,136.0
Daal Roti,Kumaraswamy Layout,Yes,No,North Indian Chinese,2.9,250.0,Delivery,Quick Bites,35.0
The Lassi Park,Jayanagar,Yes,No,others,4.1,200.0,Delivery,Quick Bites,185.0
Cafe Coffee Day,Jayanagar,Yes,No,Cafe Fast Food,3.2,900.0,Delivery,Cafe,17.0
A2B Adyar Ananda Bhavan,others,Yes,No,South Indian North Indian Chinese Street Food,3.8,400.0,Delivery,Casual Dining,155.0
Srikrishna Bhavan,Banashankari,Yes,No,South Indian North Indian Chinese,3.8,300.0,Delivery,Quick Bites,42.0
Timepass Dinner,Basavanagudi,Yes,No,North Indian,3.8,600.0,Delivery,Casual Dining,286.0
Green Gardenia,Banashankari,Yes,No,North Indian Chinese,3.8,700.0,Delivery,Casual Dining,160.0
J Spice,Banashankari,Yes,No,North Indian Chinese,3.8,750.0,Delivery,Casual Dining,59.0
Karavali Family Restaurant,Jayanagar,Yes,No,others,3.5,500.0,Delivery,Casual Dining,90.0
